code,smile,id
vat-d521,NS(=O)(=O)C1=NC=2C=CC=CC2N1,521
vat-d522,C1=CNC(=N1)C=2C=CN=CC2,522
vat-d523,OC(=O)CCC=1C=CC(O)=CC1,523
vat-d524,COC=1C=CC(N)=CC1F,524
vat-d525,CC(=O)C1=CN(C)C=2C=CC=CC12,525
vat-d526,OC(=O)C=1C=CC(Cl)=CC1,526
vat-d527,OC(=O)CC=1C=CC=C(O)C1,527
vat-d528,[Na+].[O-]C(=O)C1=CSC=N1,528
vat-d529,CC=1C=C(C)C(N)=C(C1)C(=O)O,529
vat-d530,CCC=1C=CC(O)=CC1,530
vat-d531,NC(=O)C=1C=NC=CN1,531
vat-d532,NC1=NC=2C=CC=CC2C(=O)N1,532
vat-d533,OC(=O)C=1C=NC=C(O)C1,533
vat-d534,OCC=1C=C(ON1)C=2C=CC=CC2,534
vat-d535,CN1C=CC=2C=CNC2C1=O,535
vat-d536,OC(=O)C=1SC=CC1N2C=CC=C2,536
vat-d537,CC=1C(O)=CC=CC1C(=O)O,537
vat-d538,NS(=O)(=O)C=1C=C(Cl)C=C(Cl)C1,538
vat-d539,CC1=NC=CN1CCO,539
vat-d540,CC(=O)N1CCN(CC1)C=2C=CC(O)=CC2,540
vat-d541,C1=NNC=2C=CC=CC12,541
vat-d542,O=C1NC=2C=CC=C3C=CC=C1C23,542
vat-d543,OC=1C=CC(C#N)=C(F)C1,543
vat-d544,NC=1N=CC=C2C=CC=CC12,544
vat-d545,ClC=1C=CC=2NC(=O)C(=O)C2C1,545
vat-d546,O=C1NC=CC=2C=CC=CC12,546
vat-d547,CC=1C=CC=2C=C(NC2C1)C(=O)O,547
vat-d548,OC(=O)CC1=CNC=2C=CC(Br)=CC12,548
vat-d549,C1CN(CCN1)C=2C=CC=C3NC=CC23,549
vat-d550,Cl.NC1=NC=C(CC=2C=CC=CC2)S1,550
vat-d551,OC(=O)C1=CC=2C=CSC2N1,551
vat-d552,OCN1C=NC=2C=CC=CC12,552
vat-d553,CCOC=1C=CC=CC1O,553
vat-d554,OC(=O)CCC1=NC=2C=CC=CC2NC1=O,554
vat-d555,FC=1C=CC=2NC=CC2C1,555
vat-d556,Cl.NCCC1=CNC=2C=CC(F)=CC12,556
vat-d557,FC=1C=C(F)C=2NC=CC2C1,557
vat-d558,CCOC(=O)C=1C(C)=NNC1C,558
vat-d559,NC(=O)C=1C=CC=C2NC=CC12,559
vat-d560,ClC=1C=CC=2NC=C(CC#N)C2C1,560
