sample,SMILES_string,Number of molecules,# O atoms,# Cl atoms,# S atoms,# P atoms,# Br atoms,# I atoms,DK hit?,HG hit?,Use
122,['C[NH+](C)Cc1ccc(o1)C(=O)[O-]'],1,3,0,0,0,0,0,0,1,0
123,['c1ccc(cc1)COc2ccc(cc2)C(=O)NN'],1,2,0,0,0,0,0,0,0,0
124,['c1cc(ccc1c2ccn[nH]2)n3ccnc3'],1,0,0,0,0,0,0,0,0,0
125,[],0,0,0,0,0,0,0,0,0,0
126,[],0,0,0,0,0,0,0,0,0,0
127,[],0,0,0,0,0,0,0,0,0,0
128,[],0,0,0,0,0,0,0,0,0,0
129,[],0,0,0,0,0,0,0,0,0,0
130,[],0,0,0,0,0,0,0,0,0,0
131,[],0,0,0,0,0,0,0,0,0,0
132,[],0,0,0,0,0,0,0,0,0,0
133,[],0,0,0,0,0,0,0,0,0,0
134,[],0,0,0,0,0,0,0,0,0,0
135,[],0,0,0,0,0,0,0,0,0,0
136,[],0,0,0,0,0,0,0,0,0,0
138,[],0,0,0,0,0,0,0,0,0,0
140,[],0,0,0,0,0,0,0,0,0,0
141,[],0,0,0,0,0,0,0,0,0,0
142,[],0,0,0,0,0,0,0,0,0,0
144,[],0,0,0,0,0,0,0,0,0,0
145,['c1ccc(cc1)C[NH+]2CC(=O)NC(=O)C2'],1,2,0,0,0,0,0,0,0,0
146,['COc1cccc(c1)c2nc(c(o2)N)C#N'],1,2,0,0,0,0,0,0,0,0
147,['c1cc(ccc1NNC(=S)N)F'],1,0,0,1,0,0,0,0,0,0
148,['c1cc(ccc1CC(=O)NC2CCCCC2)F'],1,1,0,0,0,0,0,0,0,0
149,['CCOc1cccc(c1)c2nnc(s2)N'],1,1,0,1,0,0,0,0,0,0
150,['c1cc(cc(c1)Cl)N2CC[NH+](CC2)CC#N'],1,0,1,0,0,0,0,0,0,0
151,['c1cc(ccc1NC(=O)CC#N)Cl'],1,1,1,0,0,0,0,0,0,0
152,['CC(C)CC(=O)NCc1ccc2c(c1)OCO2'],1,3,0,0,0,0,0,0,0,0
153,['c1ccc(cc1)C#CC[NH+]2CCCCC2'],1,0,0,0,0,0,0,0,0,0
154,['Cc1c(c(c([nH]1)C)C(=O)OC)c2cc[nH]n2'],1,2,0,0,0,0,0,0,0,0
155,['c1ccc(cc1)c2cc(on2)C[NH3+]'],1,1,0,0,0,0,0,0,0,0
156,['CC(=O)Nc1ccc(cc1)Nc2ccccc2'],1,1,0,0,0,0,0,0,0,0
157,['c1cc(cc(c1)Cl)NC(=O)C[NH+]2CCCC2'],1,1,1,0,0,0,0,0,0,0
158,['c1c(nc[nH]1)CC[NH2+]C2CCCCCC2'],1,0,0,0,0,0,0,0,0,0
159,['c1cc(cc(c1)O)C[NH+]2CCSCC2'],1,1,0,1,0,0,0,0,0,0
